[08/14 01:49:20] Training INFO: Making the model...
[08/14 01:49:23] Training INFO: The parameters of the model are added to the AdamW optimizer.
[08/14 01:49:23] Training INFO: The learning rate schedule for the optimizer has been set to CosineAnnealingLR.
[08/14 01:49:23] Training INFO: The model is made successfully.
[08/14 01:51:23] Training INFO: [Epoch 0/50][Batch 230/2035][lr 0.000300][loss_coord_0: 0.2281][loss_normal_0: 0.0338][loss_edge_0: 0.0208][loss_coord_1: 0.2372][loss_normal_1: 0.0340][loss_edge_1: 0.0183]
[08/14 01:51:26] Training INFO: [Epoch 0/50][Batch 240/2035][lr 0.000300][loss_coord_0: 0.2284][loss_normal_0: 0.0337][loss_edge_0: 0.0250][loss_coord_1: 0.2405][loss_normal_1: 0.0339][loss_edge_1: 0.0181]
[08/14 01:51:30] Training INFO: [Epoch 0/50][Batch 250/2035][lr 0.000300][loss_coord_0: 0.2312][loss_normal_0: 0.0345][loss_edge_0: 0.0274][loss_coord_1: 0.2445][loss_normal_1: 0.0338][loss_edge_1: 0.0184]
[08/14 01:51:34] Training INFO: [Epoch 0/50][Batch 260/2035][lr 0.000300][loss_coord_0: 0.2426][loss_normal_0: 0.0364][loss_edge_0: 0.0412][loss_coord_1: 0.2488][loss_normal_1: 0.0340][loss_edge_1: 0.0186]
[08/14 01:51:37] Training INFO: [Epoch 0/50][Batch 270/2035][lr 0.000300][loss_coord_0: 0.2316][loss_normal_0: 0.0337][loss_edge_0: 0.0257][loss_coord_1: 0.2408][loss_normal_1: 0.0331][loss_edge_1: 0.0198]
[08/14 01:51:41] Training INFO: [Epoch 0/50][Batch 280/2035][lr 0.000300][loss_coord_0: 0.2275][loss_normal_0: 0.0343][loss_edge_0: 0.0269][loss_coord_1: 0.2399][loss_normal_1: 0.0338][loss_edge_1: 0.0186]
[08/14 01:51:45] Training INFO: [Epoch 0/50][Batch 290/2035][lr 0.000300][loss_coord_0: 0.2195][loss_normal_0: 0.0335][loss_edge_0: 0.0255][loss_coord_1: 0.2356][loss_normal_1: 0.0338][loss_edge_1: 0.0187]
[08/14 01:51:49] Training INFO: [Epoch 0/50][Batch 300/2035][lr 0.000300][loss_coord_0: 0.2227][loss_normal_0: 0.0339][loss_edge_0: 0.0279][loss_coord_1: 0.2251][loss_normal_1: 0.0335][loss_edge_1: 0.0366]
[08/14 01:51:52] Training INFO: [Epoch 0/50][Batch 310/2035][lr 0.000300][loss_coord_0: 0.2318][loss_normal_0: 0.0351][loss_edge_0: 0.0330][loss_coord_1: 0.2387][loss_normal_1: 0.0342][loss_edge_1: 0.0235]
[08/14 01:51:56] Training INFO: [Epoch 0/50][Batch 320/2035][lr 0.000300][loss_coord_0: 0.2267][loss_normal_0: 0.0368][loss_edge_0: 0.0513][loss_coord_1: 0.2343][loss_normal_1: 0.0348][loss_edge_1: 0.0257]
[08/14 01:52:00] Training INFO: [Epoch 0/50][Batch 330/2035][lr 0.000300][loss_coord_0: 0.2331][loss_normal_0: 0.0345][loss_edge_0: 0.0319][loss_coord_1: 0.2350][loss_normal_1: 0.0338][loss_edge_1: 0.0243]
